City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Pudoc,PH,83.68,broken clouds,16.9215,120.4235,Tagudan Kubo Garden Hotel
341,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
344,Kavieng,PG,85.95,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
349,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
350,Makakilo City,US,82.15,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
354,Alugan,PH,82.26,broken clouds,12.2188,125.4808,JM Lodge
358,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
363,Ciudad Bolivar,VE,80.17,overcast clouds,8.1222,-63.5497,Hotel Edi
365,Kalmunai,LK,79.3,scattered clouds,7.4167,81.8167,VS Villa
366,Mogadishu,SO,78.67,clear sky,2.0371,45.3438,Hotel Juba
369,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
372,Arlit,NE,80.62,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
376,Reconquista,AR,85.69,overcast clouds,-29.15,-59.65,Grand Hotel
379,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
386,Rodrigues Alves,BR,77.34,clear sky,-7.7379999999999995,-72.6509,Pousada Aconchego
390,Kupang,ID,88.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
395,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
402,Charters Towers,AU,86.32,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
413,Cayenne,GF,82.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
418,Nieuw Amsterdam,SR,80.02,broken clouds,5.8833,-55.0833,Hotel Stardust
423,Carauari,BR,75.49,broken clouds,-4.8828,-66.8958,Hotel Fellip
426,Buchanan,LR,77.41,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
427,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
