City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
54,Yellowknife,CA,2021-10-21 03:58:19,62.456,-114.3525,41.41,82,20,12.66
55,Pinahat,IN,2021-10-21 03:58:40,26.8839,78.3781,79.75,40,0,7.2
56,Mount Pleasant,US,2021-10-21 03:58:40,32.7941,-79.8626,62.01,92,1,0.0
57,Butaritari,KI,2021-10-21 03:58:41,3.0707,172.7902,81.68,74,50,12.82
58,Matara,LK,2021-10-21 03:58:42,5.9485,80.5353,83.79,72,52,7.45
59,Lagoa,PT,2021-10-21 03:59:54,39.05,-27.9833,68.45,63,2,2.84
60,Jacareacanga,BR,2021-10-21 03:58:43,-6.2222,-57.7528,74.5,83,18,1.97
61,Kralendijk,BQ,2021-10-21 03:58:43,12.15,-68.2667,83.84,70,11,19.3
62,Norman Wells,CA,2021-10-21 04:02:30,65.282,-126.8329,24.76,94,45,4.03
63,Nador,MA,2021-10-21 03:58:44,35.174,-2.9287,62.85,94,20,4.61
64,Santiago Del Estero,AR,2021-10-21 03:58:44,-27.7951,-64.2615,67.8,34,0,8.79
65,Qaanaaq,GL,2021-10-21 03:58:45,77.484,-69.3632,9.07,96,77,5.01
66,Lazurne,UA,2021-10-21 03:58:45,46.084,32.5295,54.01,77,38,20.96
67,Bethel,US,2021-10-21 03:58:46,41.3712,-73.414,66.22,76,42,3.89
68,Divnogorsk,RU,2021-10-21 03:58:46,55.9594,92.3619,37.89,49,63,6.08
69,Gaspe,CA,2021-10-21 03:58:47,48.8334,-64.4819,44.51,93,75,5.75
70,Verkhnevilyuysk,RU,2021-10-21 03:58:47,63.4453,120.3167,33.67,98,100,8.39
71,Mormugao,IN,2021-10-21 03:58:48,15.4,73.8,83.46,70,75,4.61
72,Inhambane,MZ,2021-10-21 03:58:48,-23.865,35.3833,57.18,94,20,0.0
73,Morant Bay,JM,2021-10-21 03:58:49,17.8815,-76.4093,82.02,84,68,5.91
74,Mbandaka,CD,2021-10-21 03:58:49,0.0487,18.2603,70.43,93,100,2.75
75,Kropotkin,RU,2021-10-21 04:02:46,45.4375,40.5756,39.06,61,7,5.55
76,Beyneu,KZ,2021-10-21 03:58:50,45.3167,55.2,40.78,66,21,10.45
77,Severo-Kurilsk,RU,2021-10-21 03:58:51,50.6789,156.125,37.49,63,80,19.93
78,Kasungu,MW,2021-10-21 03:58:51,-13.0333,33.4833,64.49,81,32,8.72
79,Dikson,RU,2021-10-21 04:02:40,73.5069,80.5464,27.54,56,100,8.39
80,Iskateley,RU,2021-10-21 03:58:52,67.6803,53.1512,28.67,85,99,9.62
81,Leeuwarden,NL,2021-10-21 03:54:26,53.2014,5.8086,53.64,96,75,16.11
82,Narsaq,GL,2021-10-21 04:03:20,60.9167,-46.05,26.82,36,15,6.04
83,Progreso,MX,2021-10-21 03:58:53,21.2833,-89.6667,77.11,86,99,9.13
84,Port Alfred,ZA,2021-10-21 03:58:54,-33.5906,26.891,64.47,73,68,10.71
85,Saskylakh,RU,2021-10-21 03:58:54,71.9167,114.0833,18.57,96,100,8.79
86,Tuktoyaktuk,CA,2021-10-21 03:58:34,69.4541,-133.0374,21.2,100,20,6.91
87,Kavieng,PG,2021-10-21 03:58:55,-2.5744,150.7967,83.5,74,95,6.67
88,Imbituba,BR,2021-10-21 04:02:20,-28.24,-48.6703,64.81,83,100,7.4
89,Hilo,US,2021-10-21 03:58:56,19.7297,-155.09,72.25,89,15,1.01
90,Berlevag,NO,2021-10-21 03:58:56,70.8578,29.0864,33.8,78,100,27.78
91,East London,ZA,2021-10-21 03:58:44,-33.0153,27.9116,62.92,75,40,11.74
92,San Patricio,US,2021-10-21 03:58:57,28.017,-97.5169,77.83,76,8,6.29
93,Souillac,MU,2021-10-21 04:02:33,-20.5167,57.5167,77.36,73,4,9.75
94,Carnarvon,AU,2021-10-21 03:58:37,-24.8667,113.6333,73.47,60,75,17.27
95,Tiksi,RU,2021-10-21 03:58:58,71.6872,128.8694,13.89,93,100,6.2
96,Nikolskoye,RU,2021-10-21 03:58:59,59.7035,30.7861,54.88,89,100,11.79
97,Thompson,CA,2021-10-21 03:58:59,55.7435,-97.8558,24.96,80,40,0.0
98,Egvekinot,RU,2021-10-21 03:58:48,66.3167,-179.1667,18.84,90,96,4.45
99,Kodiak,US,2021-10-21 03:59:00,57.79,-152.4072,38.16,94,92,12.62
100,Banda Aceh,ID,2021-10-21 04:03:38,5.5577,95.3222,80.83,76,100,3.56
101,Clyde River,CA,2021-10-21 04:03:38,70.4692,-68.5914,28.63,93,90,13.8
102,Denholm,CA,2021-10-21 03:59:01,52.6501,-108.018,31.44,43,0,13.56
103,Boa Vista,BR,2021-10-21 04:00:42,2.8197,-60.6733,80.58,83,75,1.14
104,Torbay,CA,2021-10-21 03:59:02,47.6666,-52.7314,47.75,94,90,16.11
105,Leningradskiy,RU,2021-10-21 03:59:02,69.3833,178.4167,25.65,96,100,14.58
106,Busselton,AU,2021-10-21 03:59:03,-33.65,115.3333,64.04,68,97,13.62
107,Airai,TL,2021-10-21 03:59:03,-8.9266,125.4092,82.26,33,59,2.28
108,Martaban,MM,2021-10-21 03:59:04,16.5314,97.6111,84.63,73,84,1.92
109,Flinders,AU,2021-10-21 04:03:00,-34.5833,150.8552,70.81,65,13,8.12
