City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,3.44,scattered clouds
211,Mukhen,RU,48.1,136.1,38.43,39,0,1.59,clear sky
212,Point Pedro,LK,9.8167,80.2333,80.94,82,65,8.68,broken clouds
213,Lang Son,VN,21.8333,106.7333,64.02,97,100,4.94,overcast clouds
214,Vanimo,PG,-2.6741,141.3028,82.42,79,99,2.1,light rain
215,Fairbanks,US,64.8378,-147.7164,44.94,49,20,6.91,few clouds
216,Rocha,UY,-34.4833,-54.3333,61.39,99,89,4.16,overcast clouds
217,Sao Filipe,CV,14.8961,-24.4956,79.39,78,99,6.46,overcast clouds
218,Luba,GQ,3.4568,8.5547,79.03,86,98,7.56,moderate rain
219,General Pico,AR,-35.6566,-63.7568,52.18,96,100,8.66,moderate rain
220,Gorom-Gorom,BF,14.4439,-0.2361,86.59,14,100,7.49,overcast clouds
221,Trincomalee,LK,8.5711,81.2335,80.49,84,16,9.17,few clouds
222,Flinders,AU,-34.5833,150.8552,76.17,57,100,4.0,overcast clouds
223,Pisco,PE,-13.7,-76.2167,63.01,82,0,16.11,clear sky
224,Airai,TL,-8.9266,125.4092,73.96,47,55,2.13,broken clouds
225,Ahipara,NZ,-35.1667,173.1667,60.94,64,98,14.43,overcast clouds
226,Lincoln,US,40.8,-96.667,45.28,57,90,3.44,overcast clouds
227,Morros,BR,-9.4467,-46.3003,76.86,65,99,1.63,overcast clouds
228,Tateyama,JP,34.9833,139.8667,68.14,85,98,11.14,overcast clouds
229,Salinopolis,BR,-0.6136,-47.3561,79.39,85,80,10.11,broken clouds
230,Damaturu,NG,11.747,11.9608,78.73,22,96,6.31,overcast clouds
231,Portland,US,45.5234,-122.6762,58.44,43,20,1.99,few clouds
232,Souillac,MU,-20.5167,57.5167,70.36,88,40,3.44,scattered clouds
233,Qandala,SO,11.472,49.8728,78.53,77,97,8.28,overcast clouds
234,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.9,94,100,19.24,overcast clouds
235,Pangnirtung,CA,66.1451,-65.7125,27.19,97,100,4.18,snow
236,Srandakan,ID,-7.9386,110.2506,78.55,86,100,1.95,overcast clouds
237,Payson,US,40.0444,-111.7321,62.08,54,1,0.0,clear sky
238,Shorapani,GE,42.0898,43.0866,60.39,69,100,6.15,overcast clouds
239,Vangaindrano,MG,-23.35,47.6,71.35,94,100,6.31,light rain
240,Medenychi,UA,49.4305,23.7507,38.01,89,0,7.43,clear sky
241,Turek,PL,52.0155,18.5005,44.98,69,13,9.51,few clouds
242,Uhlove,UA,44.8215,33.6045,52.2,69,57,4.09,broken clouds
243,Nantucket,US,41.2835,-70.0995,60.96,86,1,13.8,clear sky
244,Anadyr,RU,64.75,177.4833,-7.01,76,66,11.01,broken clouds
245,Clarence Town,AU,-32.5833,151.7833,76.14,34,99,5.55,overcast clouds
246,Saint-Louis,SN,16.3333,-15.0,86.22,25,47,8.39,scattered clouds
247,Roald,NO,62.5833,6.1333,49.33,66,90,9.22,overcast clouds
248,Vardo,NO,70.3705,31.1107,37.9,75,94,23.31,overcast clouds
249,Salinas,US,36.6777,-121.6555,63.41,69,1,6.91,clear sky
250,Kutum,SD,14.2,24.6667,74.19,22,18,12.84,few clouds
251,Ponta Delgada,PT,37.7333,-25.6667,73.51,100,75,8.05,broken clouds
252,Mahendranagar,NP,28.9167,80.3333,62.56,79,0,4.14,clear sky
253,Nishihara,JP,26.1842,127.7558,79.88,66,20,13.8,few clouds
254,Lampazos De Naranjo,MX,27.0167,-100.5167,77.25,47,0,9.6,clear sky
255,Bud,US,39.447,-86.1758,51.24,84,1,10.58,clear sky
256,Grindavik,IS,63.8424,-22.4338,36.07,80,75,21.85,broken clouds
257,Tezu,IN,27.9167,96.1667,67.8,63,50,3.04,scattered clouds
258,Buribay,RU,51.9617,58.1592,41.45,92,100,16.67,overcast clouds
259,Zhumadian,CN,32.9794,114.0294,58.57,62,98,9.13,light rain
260,Salalah,OM,17.0151,54.0924,71.69,60,0,3.44,clear sky
261,Hobyo,SO,5.3505,48.5268,79.95,70,7,13.13,clear sky
262,Nome,US,64.5011,-165.4064,24.87,68,1,6.91,clear sky
263,Yuncheng,CN,35.0231,110.9928,56.01,67,100,4.74,overcast clouds
264,Kumano,JP,34.3442,132.5894,63.77,67,100,2.01,overcast clouds
265,Felanitx,ES,39.4696,3.1483,73.96,75,95,16.37,overcast clouds
266,Sitka,US,57.0531,-135.33,51.69,37,75,10.36,broken clouds
267,Sibolga,ID,1.7427,98.7792,77.83,85,100,0.13,overcast clouds
268,Mago,RU,53.2514,140.1822,29.62,48,0,3.47,clear sky
269,Boralday,KZ,43.3578,76.8594,35.46,80,75,4.47,broken clouds
270,Vysokogornyy,RU,50.1167,139.15,29.91,56,3,2.48,clear sky
271,Tahta,EG,26.7693,31.5021,75.24,39,0,8.46,clear sky
